Any,id_rs,rs,id_aga,aga,sexe,edat,Nse_baix,Nou_pacient,pcsm,pccsm,pacients,visites,Poblacio
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,35-44,1,1,1,1,2,2,5406
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,45-54,0,0,0,0,9,125,4701
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,45-54,0,0,1,0,2,32,4701
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,45-54,0,0,1,1,50,827,4701
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,45-54,0,1,0,0,6,36,4701
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,45-54,0,1,1,0,3,36,4701
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,45-54,0,1,1,1,5,55,4701
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,45-54,1,0,0,0,1,8,4701
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,45-54,1,0,1,0,2,33,4701
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,45-54,1,0,1,1,24,491,4701
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,45-54,1,1,0,0,2,6,4701
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,45-54,1,1,1,0,1,2,4701
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,45-54,1,1,1,1,5,41,4701
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,55-64,0,0,0,0,2,14,3722
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,55-64,0,0,1,0,7,59,3722
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,55-64,0,0,1,1,36,550,3722
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,55-64,0,1,0,0,7,22,3722
