"","any","id_rs","rs","id_aga","aga","sexe","grup_edat","nse_baix","nou_pacient","pcsm","pccsm","pacients","visites"
"231",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"<6",1,1,0,0,3,5
"232",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"13-17",0,0,0,0,31,168
"233",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"13-17",0,0,1,0,30,285
"234",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"13-17",0,0,1,1,18,282
"235",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"13-17",0,1,0,0,18,57
"236",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"13-17",0,1,1,0,4,10
"237",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"13-17",0,1,1,1,7,68
"238",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"13-17",1,0,0,0,10,125
"239",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"13-17",1,0,1,0,5,25
"240",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"13-17",1,0,1,1,8,99
"241",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"13-17",1,1,0,0,4,20
"242",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"13-17",1,1,1,1,1,16
"243",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"18-24",0,0,0,0,4,30
"244",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"18-24",0,0,1,0,6,28
"245",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"18-24",0,0,1,1,12,118
"246",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"18-24",0,1,0,0,4,22
"247",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"18-24",0,1,1,1,3,22
"248",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"18-24",1,0,0,0,1,4
"249",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"18-24",1,0,1,0,2,13
"250",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"18-24",1,0,1,1,4,65
"251",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"18-24",1,1,1,0,1,12
"252",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"18-24",1,1,1,1,3,22
"253",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"25-34",0,0,0,0,5,43
"254",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"25-34",0,0,1,0,2,8
"255",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"25-34",0,0,1,1,14,249
"256",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"25-34",0,1,0,0,1,1
"257",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"25-34",0,1,1,0,1,5
"258",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"25-34",0,1,1,1,8,59
"259",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"25-34",1,0,0,0,1,11
"260",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"25-34",1,0,1,1,19,395
"261",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"25-34",1,1,1,0,1,1
"262",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"25-34",1,1,1,1,2,32
